Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Lead author contact details,Year,Pages,"Notes (e.g., Why does the paper not fit the framework?)",FunVsUtility,PlayVsGame,SkillVsChance,SocialVsSolo,SequentialVsSimultaneous,SynchronousVsAsynchronous,CompetitiveVsCollaborative,SymmeticalVsAsymmetrical,Experiential Play Value Classification,"Study funding sources (e.g., NSF, NIH, EU Grant)",study_char_methods,study_char_interview,study_char_workshop,study_char_field_study,study_char_usability,study_char_modality,study_char_context,Community of focus,Participant Groups,User involvement,Use of proxies,Method of recruitment of participants,study_char_issue,Contribution type,Total Number of Participants:,Disabled Total,Specialist Total,Without Disability Total,Older adults Total,Caregivers Total,Other Total,Gender (number of participants):,Male Disabled,"Male Specialist (e.g., Therapist)",Male Without disability,Male Older adults,Male Caregivers,Male Other,Female Disabled,"Female Specialist (e.g., Therapist)",Female Without disability,Female Older adults,Female Caregivers,Female Other,MTF transgender Disabled,"MTF transgender Specialist (e.g., Therapist)",MTF transgender Without disability,MTF transgender Older adults,MTF transgender Caregivers,MTF transgender Other,FTM transgender Disabled,"FTM transgender Specialist (e.g., Therapist)",FTM transgender Without disability,FTM transgender Older adults,FTM transgender Caregivers,FTM transgender Other,"Non-binary, genderqueer, fluid Disabled","Non-binary, genderqueer, fluid Specialist (e.g., Therapist)","Non-binary, genderqueer, fluid Without disability","Non-binary, genderqueer, fluid Older adults","Non-binary, genderqueer, fluid Caregivers","Non-binary, genderqueer, fluid Other",Other Disabled,"Other Specialist (e.g., Therapist)",Other Without disability,Other Older adults,Other Caregivers,Other Other,Sexual orientation (number of participants):,Heterosexual / Straight Disabled,"Heterosexual / Straight Specialist (e.g., Therapist)",Heterosexual / Straight Without disability,Heterosexual / Straight Older adults,Heterosexual / Straight Caregivers,Heterosexual / Straight Other,Gay / Lesbian Disabled,"Gay / Lesbian Specialist (e.g., Therapist)",Gay / Lesbian Without disability,Gay / Lesbian Older adults,Gay / Lesbian Caregivers,Gay / Lesbian Other,Bisexual Disabled,"Bisexual Specialist (e.g., Therapist)",Bisexual Without disability,Bisexual Older adults,Bisexual Caregivers,Bisexual Other,Pansexual Disabled,"Pansexual Specialist (e.g., Therapist)",Pansexual Without disability,Pansexual Older adults,Pansexual Caregivers,Pansexual Other,Asexual Disabled,"Asexual Specialist (e.g., Therapist)",Asexual Without disability,Asexual Older adults,Asexual Caregivers,Asexual Other,Other Disabled,"Other Specialist (e.g., Therapist)",Other Without disability,Other Older adults,Other Caregivers,Other Other,Participant Ages (number of participants):,0-2 (Infant/Toddler) Disability,"0-2 (Infant/Toddler) Specialist (e.g., Therapist)",0-2 (Infant/Toddler) Without disability,0-2 (Infant/Toddler) Older adults,0-2 (Infant/Toddler) Casegivers,0-2 (Infant/Toddler) Other,3-6 (Early Childhood) Disability,"3-6 (Early Childhood) Specialist (e.g., Therapist)",3-6 (Early Childhood) Without disability,3-6 (Early Childhood) Older adults,3-6 (Early Childhood) Casegivers,3-6 (Early Childhood) Other,6-12  (Middle Childhood) Disability,"6-12  (Middle Childhood) Specialist (e.g., Therapist)",6-12  (Middle Childhood) Without disability,6-12  (Middle Childhood) Older adults,6-12  (Middle Childhood) Casegivers,6-12  (Middle Childhood) Other,13-17 (Adolescence) Disability,"13-17 (Adolescence) Specialist (e.g., Therapist)",13-17 (Adolescence) Without disability,13-17 (Adolescence) Older adults,13-17 (Adolescence) Casegivers,13-17 (Adolescence) Other,18-25 (Emerging Adulthood) Disability,"18-25 (Emerging Adulthood) Specialist (e.g., Therapist)",18-25 (Emerging Adulthood) Without disability,18-25 (Emerging Adulthood) Older adults,18-25 (Emerging Adulthood) Casegivers,18-25 (Emerging Adulthood) Other,26-40 (Early Adulthood) Disability,"26-40 (Early Adulthood) Specialist (e.g., Therapist)",26-40 (Early Adulthood) Without disability,26-40 (Early Adulthood) Older adults,26-40 (Early Adulthood) Casegivers,26-40 (Early Adulthood) Other,40-65 (Middle Adulthood) Disability,"40-65 (Middle Adulthood) Specialist (e.g., Therapist)",40-65 (Middle Adulthood) Without disability,40-65 (Middle Adulthood) Older adults,40-65 (Middle Adulthood) Casegivers,40-65 (Middle Adulthood) Other,>66 (Late Adulthood) Disability,">66 (Late Adulthood) Specialist (e.g., Therapist)",>66 (Late Adulthood) Without disability,>66 (Late Adulthood) Older adults,>66 (Late Adulthood) Casegivers,>66 (Late Adulthood) Other,"Adult (Over 18, but undisclosed age) Disability","Adult (Over 18, but undisclosed age) Specialist (e.g., Therapist)","Adult (Over 18, but undisclosed age) Without disability","Adult (Over 18, but undisclosed age) Older adults","Adult (Over 18, but undisclosed age) Casegivers","Adult (Over 18, but undisclosed age) Other","Minor (Under 18, but undisclosed age) Disability","Minor (Under 18, but undisclosed age) Specialist (e.g., Therapist)","Minor (Under 18, but undisclosed age) Without disability","Minor (Under 18, but undisclosed age) Older adults","Minor (Under 18, but undisclosed age) Casegivers","Minor (Under 18, but undisclosed age) Other",Primary Country,Secondary Countries (Comma separated)
562,Milne 2013,VBGhost: a braille-based educational smartphone game for children,Consensus,10.1145/2513383.2513396,VBGhost: a braille-based educational smartphone game for children,Lauren R. Milne,2013,2,,"Both fun and utility first (i.e., Design workshop with diverse stakeholders)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Mix of solo and social affordances (i.e., Animal Crossing)","Entirely Turn-based (i.e., Tic Tak Toe)","Mostly Synchronous with few asychronous affordances (i.e., League of Legends)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),DOE,Workshop or design session,Not applicable,Prototyping,Not Applicable,Not Applicable,Mobile,School,Blind or low vision (BLV),People with disabilities,User evaluation with stakeholders with disabilities,No,"Convienience sampling (i.e., Day program)",Education; Increasing opportunities for enrichment ,Artifact,,0,0,0,0,0,0,,0,"0
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"0
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"
0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,N/A
561,Miller 2007,Finger dance: a sound game for blind people,Consensus,10.1145/1296843.1296898,Finger Dance: A sound game for blind people,Daniel Miller,2007,2,,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),,Workshop or design session; Usability testing,Not applicable,Design probe,Not Applicable,Exert analysis,PC,Unknown,Blind or low vision (BLV),People with disabilities; People without disabilities,Participatory design with stakeholders without disabilities; Participatory design with stakeholders with disabilities; User evaluation with stakeholders without disabilities; User evaluation with stakeholders with disabilities,No,"Convienience sampling (i.e., Day program)",Increasing opportunities for enrichment ,Artifact,,3,N/A,3,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USA,
560,Torrente 2012,Preliminary evaluation of three eyes-free interfaces for point-and-click computer games,Consensus,10.1145/2384916.2384985,Preliminary evaluation of three eyes-free interfaces for point-and-click computer games,Javier Torrente,2012,2,,"Totally utility first (i.e., made by clinicians, fun incorporated later)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),"Spanish Ministry of Science, European Commission, Complutense University, Regional Government of Madrid",Controlled experiment; Survey,Not applicable,Not Applicable,Not Applicable,Not Applicable,PC,Unknown,Blind or low vision (BLV),People with disabilities,User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing digital access,Artifact,,2,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,Spain,N/A
559,Kim 2013,Surveying the accessibility of touchscreen games for persons with motor impairments: a preliminary analysis,Consensus,10.1145/2513383.2513450,Surveying the Accessibility of Touchscreen Games for Persons with Motor Impairments: A Preliminary Analysis,Yoojin Kim,2013,2,,Not Applicable ,Not Applicable,Not Applicable,Not Applicable ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable ,Google,Survey,Not applicable,Not Applicable,Not Applicable,Not Applicable,Tablet,Not applicable,Motor of physical impairment,No user involvement,Not applicable,No,No user involvement,Increasing understanding of users,Theoretical,,0,0,0,0,0,0,,N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,,"N/A
",N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,"N/A
",N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,"N/A
",N/A,"N/A
",N/A,"N/A
",N/A,USA,N/A
558,MoyàAlcover 2011,Use of serious games for motivational balance rehabilitation of cerebral palsy patients,Consensus,10.1145/2049536.2049615,Use of serious games for motivational balance rehabilitation of cerebral palsy patients,Biel Moyà-Alcover,2011,2,,"Totally utility first (i.e., made by clinicians, fun incorporated later)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Most actions can be taken at any time, but there are some phases (i.e., PvP death reset timer)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),"MAEC-AECID, FEDER",Workshop or design session; Field study,Not applicable,Prototyping,Ethnography,Not Applicable,PC,Clinic,Motor of physical impairment,People with disabilities,User evaluation with stakeholders with disabilities,No,Clinic,Personal informatics and changing behavior,Artifact,,4,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,"0
",0,0,0,N/A,0,0,"0
",0,0,,N/A,0,"0
",0,"0
",0,N/A,0,0,0,0,0,N/A,0,"0
",0,0,0,N/A,0,0,0,0,0,N/A,0,"0
",0,0,0,N/A,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,4,0,0,0,0,0,N/A,0,0,0,0,0,Spain,Cuba
557,Alankus 2010,Stroke therapy through motion-based games: a case study,Consensus,https://doi.org/10.1145/1878803.1878842,Stroke Therapy through Motion-Based Games: A Case Study ,Gazihan Alankus,2010,8,N/A,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Mostly Symmetrical (i.e., Uno)",Challenge (Testing physical or mental abilities against others or self),N/A,Interview; Field study; Case study; Controlled experiment; Telemetry / Big data / CSCW,Semi-structured interview; Contextual inquiry,Not Applicable,Diary study,Not Applicable,Wearable; PC,Clinic; Home,Blind or low vision (BLV); Motor of physical impairment,People with disabilities,User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing independence; Increasing physical access,Artifact,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,N/A
556,Sporka 2006,Non-speech input and speech recognition for real-time control of computer games,Consensus,10.1145/1168987.1169023,Non-speech input and speech recognition for real-time control of computer games,Adam J. Sporka,2006,8,,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),"Ministry of Education, Youth and Sports of the Czech Republic (Program LC-06008)",Controlled experiment,Not applicable,Not Applicable,Not Applicable,Not Applicable,PC,Research lab,Motor of physical impairment; Communication / Speech; General disability or accessibility,People without disabilities,User evaluation with stakeholders without disabilities,No,"Convienience sampling (i.e., Day program)",Increasing digital access; Increasing understanding of users; Supporting communication,Empirical; Artifact,,0,0,19,0,0,0,,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"N/A
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Czech Republic,UK
555,O'Bryan 2012,An interactive play mat for deaf-blind infants,Consensus,10.1145/2384916.2384972,An interactive play mat for deaf-blind infants,Crystal O’Bryan,2012,2,,"Mostly utility first (i.e., primary utilitarian mechanic designed first)","Flexible game (i.e., board game with house rules)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),,Workshop or design session,Not applicable,Ideation; Prototyping,Not Applicable,Not Applicable,Tangible Interface,Unknown,Blind or low vision (BLV); Deaf or hard of hearing (DHH),"Specialists (e.g., therapists, teachers)",Participatory design with stakeholders without disabilities,No,Undisclosed,Education,Artifact,,0,2,0,0,0,0,,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,"0
",0,0,0,N/A,0,0,0,0,,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,2,0,0,0,0,0,N/A,0,0,0,0,USA,N/A
554,Putnam 2013,Motion-games in brain injury rehabilitation: an in-situ multi-method study of inpatient care,Consensus,10.1145/2513383.2513390,Motion-games in brain injury rehabilitation: an in-situ multi-method study of inpatient care,Cynthia Putnam,2013,2,,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Mostly Solo, but can play against AI (i.e., Single player StarCraft)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),N/A,Interview; Field study,Semi-structured interview,Not Applicable,Ethnography; Diary study,Not Applicable,Other: Console,Clinic,Motor of physical impairment; Cognitive impairment,"People with disabilities; Specialists (e.g., therapists, teachers)",User evaluation with stakeholders without disabilities; User evaluation with stakeholders with disabilities,No,Clinic,Personal informatics and changing behavior,Empirical,,68,17,0,0,0,0,,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,16,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,USA,N/A
553,Hussaan 2011,Helping children with cognitive disabilities through serious games: project CLES,Consensus,10.1145/2049536.2049592,Helping children with cognitive disabilities through serious games: project CLES,Aarij Mahmood Hussaan,2011,2,N/A,"Totally utility first (i.e., made by clinicians, fun incorporated later)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Mostly Competitive, but sometimes collaboration is important (i.e., Forbidden Island)","Entirely Symetrical (i.e., Tik tac toe)","Fantasy (i.e., role playing); Challenge (Testing physical or mental abilities against others or self)",N/A,Telemetry / Big data / CSCW,Not applicable,Not Applicable,Not Applicable,Not Applicable,PC,Not applicable,Cognitive impairment,No user involvement,No representative user involvement,No,No user involvement,Education,Artifact,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,N/A
552,Wilkerson 2010,"Does a sonar system make a blind maze navigation computer game more ""fun""?",Consensus,10.1145/1878803.1878886,"Does a sonar system make a blind maze navigation computer game more ""fun""?",Matt Wilkerson,2010,2,Informal pilot study testing two nonvisual navigation systems in a zombie maze game designed for blind children; study conducted at a university open house,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)","Sensory (i.e., kaleidoscope); Challenge (Testing physical or mental abilities against others or self)",N/A,Usability testing; Controlled experiment; Survey,Structured interview,Not Applicable,Not Applicable,Exert analysis,PC,"Public space (i.e., Bowling alley); Research lab",Blind or low vision (BLV),People without disabilities,No representative user involvement,No,"Convienience sampling (i.e., Day program)",Increasing digital access,Empirical; Artifact,,0,0,29,0,0,0,,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,United states,N/A
551,Galliers 2011,Accessibility of 3D game environments for people with Aphasia: an exploratory study,Consensus,10.1145/2049536.2049562,Accessibility of 3D game environments for people with Aphasia: an exploratory study,Julia Galliers,2011,8,N/A,"Both fun and utility first (i.e., Design workshop with diverse stakeholders)","Flexible game (i.e., board game with house rules)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)","Sensory (i.e., kaleidoscope); Challenge (Testing physical or mental abilities against others or self)",EPSRC,Workshop or design session; Usability testing,Not applicable,User journey,Not Applicable,Exert analysis,PC; Other: Console,Research lab,Communication / Speech,People with disabilities,Participatory design with stakeholders with disabilities; User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing digital access; Increasing understanding of users; Increasing opportunities for enrichment ,Empirical,,5,0,0,0,0,0,,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,N/A
550,Porter 2013,An empirical study of issues and barriers to mainstream video game accessibility,Consensus,10.1145/2513383.2513444,An empirical study of issues and barriers to mainstream video game accessibility,John R. Porter,2013,8,,Not Applicable ,Not Applicable,Not Applicable,Not Applicable ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable ,NSF,Interview; Survey,Semi-structured interview,Not Applicable,Not Applicable,Not Applicable,No Technology,Not applicable,General disability or accessibility,"People with disabilities; Specialists (e.g., therapists, teachers)",Not applicable,No,"Email; Convienience sampling (i.e., Day program); Word of mouth; Social Media",Increasing digital access; Increasing understanding of users,Empirical,,55,6,0,0,0,0,,32,N/A,0,0,0,0,21,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,2,N/A,0,0,0,0,,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,,0,N/A,0,0,0,0,0,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,USA,N/A
549,Mandryk 2012,Turning off-the-shelf games into biofeedback games,Consensus,10.1145/2384916.2384952,Turning off-the-shelf games into biofeedback games,Regan L. Mandryk,2012,2,,"Totally fun first (i.e., Entertainment game reappropriated)","Game with rigid rules (i.e., video game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Most actions can be taken at any time, but there are some phases (i.e., PvP death reset timer)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)",Challenge (Testing physical or mental abilities against others or self),"NSERC, GRAND NCE",No data collected,Not applicable,Not Applicable,Not Applicable,Not Applicable,Mobile; PC,Not applicable,Cognitive impairment,No user involvement,No representative user involvement,No user involvement,No user involvement,Personal informatics and changing behavior,Artifact,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,N/A
